
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
-1.9339	1.6846	0.9027
-1.9339	1.4212	0.3853
-1.2474	1.8196	-0.4268
-0.2002	1.9150	-0.6383
0.0529	1.9330	-1.1303
-1.3673	1.9330	-1.0944
-1.1926	1.3513	-0.5713
-0.1284	0.3475	-0.1671
-0.0954	-0.2229	-0.5524
-0.2965	-1.5146	0.1360
-0.7394	-0.8810	0.6761
-1.3636	0.1020	1.1785
-1.9339	1.2993	0.3201
-1.7460	0.9934	0.8999
-0.7564	1.2351	-0.7290
-0.3815	1.8716	-1.0765
-0.9386	1.7658	-1.4023
-0.7894	1.5212	-0.6383
-0.1256	0.7856	-0.7677
0.5071	-0.3966	-0.2380
0.0907	-0.6421	0.4410
-0.3900	-0.2757	0.7734
-1.7035	0.3588	0.6185
-1.9339	1.0859	1.3862
-1.6629	0.9367	0.3541
-0.4353	1.9330	-0.9849
-0.2304	1.3551	-1.2625
-1.0293	1.3966	-0.8924
-0.5250	1.0992	-0.1681
0.3588	-0.0869	-0.1407
0.6421	-0.4570	0.4070
0.1473	-0.2956	0.7564
-0.5109	-0.2266	0.7318
-1.9339	1.1870	0.8772
-1.8697	1.1331	0.6553
-1.0094	0.8754	0.2748
-0.4769	1.7082	-0.9858
-0.6091	1.5411	-1.1001
-1.2257	1.4570	-0.8999
-0.2644	1.0661	-0.0944
0.5316	-0.3673	-0.1133
0.5770	-0.5637	0.8121
-0.3484	-0.4533	0.8999
-1.3919	0.3088	1.0500
-1.9339	1.4948	0.9811
-1.4438	1.0415	0.2304
-0.8395	1.9330	-0.8470
-0.2389	1.6837	-1.1171
-0.9103	1.3711	-0.7365
-0.5637	1.0085	0.0661
0.0387	0.2984	-0.2568
0.4618	-0.3390	0.2984
0.2956	-0.5590	0.7101
-0.3900	-0.2861	1.0009
-1.9339	0.9547	0.9849
-1.9339	1.1624	0.5165
-1.4740	1.5543	0.0208
-0.1709	1.9330	-0.9377
-0.7517	1.7734	-1.1473
-1.2710	1.2625	-0.4920
-0.1671	0.5250	0.4976
0.4646	-0.6534	0.0378
0.5590	-0.7299	1.0198
-0.0680	-0.2191	1.3362
-0.6468	0.4986	1.4457
-1.9339	1.2049	0.4230
-1.9339	1.2446	0.5203
-1.1756	1.9330	-0.5146
0.0708	1.9320	-1.2125
-0.7771	1.3664	-1.1020
-0.9603	0.5392	-0.0302
-0.0916	0.1105	0.2946
0.6251	-0.7422	0.5770
0.6110	-0.5751	0.8621
-0.3097	0.1435	1.1256
-1.3305	0.5222	0.9707
-1.9339	1.3900	0.5902
-1.6157	1.1690	0.0935
-0.3702	1.8744	-0.6412
0.0331	1.4381	-1.1719
-1.2927	1.7403	-0.9707
-0.8886	0.8347	-0.0302
0.0142	-0.0992	0.0208
0.4344	-0.3919	0.1719
0.6110	-0.5137	0.5600
-0.3664	0.1086	0.5430
-1.4353	0.2229	0.7705
-1.9339	0.8140	1.1360
-1.6015	1.4797	0.8801
-0.4693	1.4032	0.1058
-0.2861	1.6251	-0.9037
-1.0765	1.7535	-0.9830
-0.7290	0.8829	-0.2200
-0.0907	0.1294	-0.1605
0.5288	-0.6015	0.1086
0.3739	-0.5052	0.8876
-0.3560	0.0331	1.0302
-1.5760	0.4230	1.1105
-1.9339	1.1483	1.0387
-1.4967	1.1161	0.5779
-0.5373	1.9330	-0.9556
-0.2502	1.4183	-1.3541
-1.1520	1.0576	-0.8924
-0.4769	0.5099	0.2720
0.1615	-0.3211	0.1350
0.5883	-0.4419	0.6988
0.4306	-0.5486	0.9736
-0.3069	0.0670	1.0340
-1.9160	1.2701	1.1700
-1.9339	1.0859	0.7517
-1.6364	0.7781	0.3503
-0.7318	1.9330	-0.9330
-0.1907	1.8093	-1.1870
-1.2389	1.4485	-0.8102
-0.5902	0.4976	0.2871
0.2077	-0.2389	-0.0085
0.2984	-0.4570	0.3777
0.4315	-0.5600	0.7611
-0.2993	-0.0803	0.6874
-1.6402	0.4523	1.0179
-1.9339	0.8999	1.1086
-1.6015	0.9632	0.5741
-0.5892	1.9330	-0.5080
-0.1445	1.5042	-1.1076
-1.3012	1.8565	-0.7781
-0.6506	0.9481	0.1086
-0.1586	0.3692	-0.0765
0.3088	-0.4457	0.0670
0.3324	-0.5279	0.7838
-0.3843	-0.1029	0.6110
-1.5534	0.2729	0.9518
-1.9339	0.4740	0.8905
-1.5382	1.3144	0.6478
-0.9254	1.8914	-0.2380
-0.7743	1.9330	-1.0246
-1.2757	1.8017	-0.7139
-0.6761	0.4495	-0.0992
0.5024	0.1775	0.3909
0.1974	-0.4958	0.3777
0.1048	-0.4806	0.9556
-0.2805	-0.3211	0.8829
-1.2880	0.3390	1.4136
-1.9339	0.5543	1.2446
-1.9339	1.1747	0.3702
-0.8319	1.9330	-0.8366
-0.1558	1.7186	-1.2625
-1.3938	1.6874	-0.6771
-0.5855	0.7630	0.1841
0.2653	-0.2210	0.2323
0.2474	-0.1964	0.2559
0.2408	-0.3739	0.5977
-0.1492	-0.2436	0.4901
-1.3569	0.5798	1.0047
-1.9339	0.7696	1.1898
-1.6893	0.8215	0.7554
-1.0038	1.6327	-0.0916
-0.5203	1.8347	-0.6459
-1.0784	1.8499	-0.7743
-0.8933	1.1322	-0.3399
0.1870	0.5364	0.0283
0.4410	-0.4240	0.2257
0.1955	-0.4249	0.8121
-0.0415	-0.0840	1.0151
-1.1775	0.3277	0.8914
-1.9339	0.9811	1.4164
