
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
0.632	-0.694	-0.284
0.746	-0.674	-0.376
0.708	-0.656	-0.41
0.69	-0.676	-0.26
0.774	-0.778	-0.12
0.812	-0.818	0.024
0.882	-0.842	0.094
0.896	-0.872	-0.032
0.888	-0.928	-0.308
0.956	-0.638	-0.282
0.834	-0.582	-0.244
0.734	-0.556	-0.258
0.714	-0.524	-0.184
0.856	-0.57	-0.082
0.974	-0.634	-0.046
1.076	-0.626	0.086
0.942	-0.624	0.23
0.88	-0.558	0.214
0.836	-0.492	0.148
0.818	-0.462	0.192
0.736	-0.47	0.19
0.704	-0.444	0.13
0.704	-0.342	0.05
0.678	-0.308	-0.05
0.788	-0.47	-0.17
0.998	-0.65	-0.228
1.046	-0.558	-0.116
1.24	-0.552	-0.082
1.412	-0.366	-0.034
1.44	-0.154	0.01
1.306	-0.088	0.094
1.13	-0.116	0.098
1.062	-0.126	0.132
1.11	-0.088	0.15
1.13	-0.154	0.218
1.064	-0.272	0.414
1.036	-0.138	0.622
0.856	-0.282	0.846
0.592	-0.156	0.89
0.464	-0.052	0.714
0.17	0.108	0.56
0.118	0.192	0.648
0.08	0.232	0.51
0.1	0.26	0.458
0.388	0.16	0.49
0.396	0.174	0.214
0.366	0.24	0.18
0.412	0.162	0.524
0.554	0.02	0.74
0.642	0.05	0.794
0.824	0.058	0.614
0.876	0.12	0.35
0.872	0.146	0.43
0.98	0.134	0.53
0.982	0.168	0.524
0.852	0.148	0.704
0.842	0.084	0.878
0.828	0.074	0.816
0.72	0.022	0.734
1.05	0.12	0.538
1.044	0.202	0.504
1.086	0.27	0.598
1.4	0.256	0.754
1.752	0.414	0.55
1.804	0.546	0.318
2.08	0.244	0.212
1.984	0.01	0.13
1.4	-0.56	0.078
0.998	-0.488	0.51
0.608	-0.184	0.668
-0.104	0.04	0.344
-0.36	0.236	0.024
-0.332	0.822	-0.318
-0.03	1.026	0.084
0.44	0.81	1.306
0.144	0.764	1.82
-0.32	0.782	0.974
-0.888	0.952	0.892
0.704	0.92	1.3
2.28	1.12	1.778
0.132	0.116	0.57
-0.12	0.154	0.586
0.42	0.562	0.842
1.032	1.038	1.23
0.666	0.736	0.726
0.328	0.692	0.108
0.354	0.802	-0.066
0.564	0.836	-0.146
0.616	1.002	-0.22
0.578	1.022	-0.106
0.394	0.968	0.076
0.322	0.846	0.322
0.328	0.838	0.592
0.242	0.624	0.658
0.182	0.598	0.886
0.298	0.604	0.862
0.386	0.622	0.836
0.322	0.6	0.75
0.36	0.67	0.62
0.314	0.744	0.592
0.348	0.728	0.534
0.408	0.874	0.424
0.506	0.906	0.43
0.318	0.804	0.306
0.426	0.852	0.252
0.45	0.946	0.342
0.418	0.874	0.364
0.462	0.8	0.322
0.426	0.9	0.518
0.47	0.8	0.43
0.42	0.784	0.412
0.436	0.91	0.456
0.834	1.012	0.378
1.022	1.1	0.24
1.08	1.226	-0.01
1.7	1.464	-0.254
1.5	1.248	-0.382
1.486	1.03	-0.378
1.468	0.77	-0.318
1.092	0.328	-0.1
0.802	0.086	-0.21
0.416	-0.164	-0.298
0.262	-0.328	-0.14
0.112	-0.672	-0.058
0.108	-1.14	0.052
0.092	-1.468	0.098
0.114	-1.702	0.152
0.266	-2.016	0.1
0.188	-2.184	-0.08
0.216	-1.976	-0.026
0.49	-1.812	0.008
0.434	-1.724	0.012
0.276	-1.47	0.092
0.118	-1.286	0.194
0.158	-1.15	0.054
0.184	-1.1	0.044
0.052	-0.9	0.052
0.222	-0.758	-0.052
0.434	-0.806	-0.148
0.444	-0.876	-0.104
0.322	-0.928	-0.136
0.274	-0.966	-0.118
0.26	-0.996	-0.086
0.334	-1.018	-0.192
0.344	-1.026	-0.164
0.318	-1.042	-0.212
0.376	-1.042	-0.238
0.32	-1.024	-0.218
0.268	-1.018	-0.186
0.272	-0.988	-0.262
0.216	-0.948	-0.176
0.232	-0.924	-0.166
0.282	-0.9	-0.168
0.262	-0.884	-0.008
0.338	-0.866	0.054
0.314	-0.766	0.062
0.312	-0.708	0.152
0.464	-0.718	0.194
0.494	-0.896	0.198
0.46	-1.116	-0.048
0.406	-1.176	-0.342
0.38	-1.178	-0.358
0.346	-1.126	-0.346
0.504	-0.942	-0.166
0.542	-0.932	-0.026
0.446	-0.882	0
0.41	-0.872	-0.062
0.39	-0.99	0.216
0.298	-0.968	0.318
0.414	-0.918	0.148
0.548	-1.028	-0.024
0.448	-1.37	0.02
0.368	-1.724	-0.048
0.496	-1.88	0.008
0.554	-1.89	-0.104
0.328	-1.572	-0.368
0.102	-0.99	-0.348
-0.104	-0.642	-0.488
-0.408	-0.048	-0.558
-0.672	0.488	-0.034
-0.082	-0.002	-0.424
-0.762	-0.87	0.282
-1.378	-0.836	0.3
-1.488	-0.086	-0.47
-0.232	0.686	-0.882
-0.418	0.618	-0.502
-0.546	0.53	-0.342
-0.44	0.458	-0.364
-0.764	0.592	-0.084
-0.634	0.97	-0.228
-0.472	1.082	-0.248
-0.584	1.044	-0.266
-0.668	0.968	-0.334
-0.712	0.954	-0.18
-0.626	0.882	-0.112
-0.558	0.752	-0.082
-0.58	0.578	-0.098
-0.624	0.406	-0.248
-0.64	0.288	-0.24
-0.618	0.136	-0.22
-0.614	0.014	-0.322
-0.666	-0.132	-0.306
-0.582	-0.36	-0.35
-0.528	-0.486	-0.406
-0.514	-0.672	-0.376
-0.456	-0.858	-0.356
-0.276	-1.058	-0.418
-0.152	-1.174	-0.402
0.048	-1.214	-0.266
0.23	-1.458	-0.014
0.198	-1.518	0.196
0.43	-2.366	-0.32
-0.262	-1.436	0.04
0.522	-0.972	-0.006
0.49	-1.086	0.032
0.16	-1.316	0.092
-0.008	-1.462	0.074
0.146	-1.708	-0.166
0.066	-1.864	-0.106
0.328	-1.718	-0.334
0.286	-1.626	-0.428
0.102	-1.312	-0.382
0.11	-1.09	-0.506
-0.06	-0.73	-0.024
-0.132	-0.374	-0.03
-0.25	0.066	0.028
-0.244	0.382	0.02
-0.208	0.774	0.09
-0.106	1.188	0.212
-0.208	1.304	0.516
0.068	1.462	0.568
-0.2	1.282	0.526
-0.244	1.1	0.47
-0.232	1.064	0.418
-0.178	1.082	0.38
-0.038	1.184	0.422
0.126	1.454	0.72
0.164	1.426	1.012
0.01	1.178	0.888
0.036	0.786	0.476
-0.118	0.346	0.14
-0.288	-0.126	-0.294
-0.39	-0.284	-0.378
-0.406	-0.448	-0.376
-0.304	-0.592	-0.4
-0.282	-0.75	-0.334
-0.18	-0.96	-0.326
0.004	-1.216	-0.41
0.028	-1.432	-0.218
0.142	-1.704	-0.176
0.118	-1.646	-0.056
0.176	-1.552	0.048
0.364	-1.534	0.216
0.48	-1.446	-0.14
0.278	-1.212	-0.174
0.47	-1.508	-0.024
0.224	-1.708	0.08
0.076	-1.738	-0.012
0.112	-1.664	-0.356
0.066	-1.214	-0.368
0.116	-1.116	-0.454
0.042	-0.752	-0.444
-0.294	-0.628	-0.3
-0.444	-0.462	-0.172
-0.522	-0.07	-0.116
-0.602	0.23	-0.152
-0.664	0.54	-0.102
-0.686	0.88	0.042
-0.59	1.048	-0.006
-0.644	1.072	-0.04
-0.638	0.886	-0.034
-0.632	0.774	0.02
-0.544	0.836	-0.012
-0.546	0.86	-0.014
-0.552	0.866	-0.032
-0.598	0.814	-0.054
-0.656	0.764	-0.026
-0.732	0.654	-0.004
-0.842	0.622	-0.05
-0.816	0.632	-0.082
-0.75	0.566	0.092
-0.77	0.48	0.106
-0.646	0.346	-0.01
-0.71	0.168	0.012
-0.646	-0.188	-0.232
-0.554	-0.428	-0.224
-0.502	-0.48	-0.23
-0.284	-0.72	-0.302
0.098	-1.038	-0.362
0.232	-1.308	-0.206
0.336	-1.666	-0.062
0.15	-1.768	0.048
0.348	-1.778	-0.128
0.544	-1.74	-0.518
0.51	-1.826	-0.288
0.216	-1.918	-0.05
0.152	-1.762	-0.23
0.188	-1.636	-0.424
0.086	-1.518	-0.404
0.074	-1.338	-0.32
0.02	-1.052	-0.36
-0.212	-0.798	-0.17
-0.238	-0.538	-0.084
-0.254	-0.204	-0.124
-0.184	0.42	0.1
-0.274	0.994	0.026
-0.498	1.28	0.184
-0.22	1.416	0.234
-0.394	1.336	0.282
-0.428	1.112	0.224
-0.34	1.036	0.14
-0.348	1.02	0.17
-0.33	1.01	0.184
-0.296	1.024	0.176
-0.302	0.99	0.24
-0.38	0.972	0.256
-0.458	0.974	0.218
-0.496	0.966	0.254
-0.464	0.966	0.25
-0.48	0.852	0.216
-0.426	0.59	0.18
-0.316	0.204	0.084
-0.298	-0.226	-0.116
-0.286	-0.618	-0.27
-0.058	-1.004	-0.344
0.208	-1.354	-0.4
0.376	-1.698	-0.456
0.212	-1.888	-0.188
0.148	-1.762	-0.036
0.352	-1.63	-0.122
0.548	-1.708	-0.284
0.384	-1.31	-0.254
0.568	-1.532	-0.366
0.146	-1.84	0.102
0.346	-1.896	-0.306
0.412	-1.866	-0.472
0.216	-1.636	-0.268
0.35	-1.41	-0.576
0.178	-1.204	-0.402
0.052	-0.722	-0.1
0.028	-0.158	-0.112
0	0.408	0.096
-0.442	0.684	0.176
-0.322	0.97	0.032
-0.194	1.242	0.12
-0.1	1.348	0.44
-0.146	1.308	0.462
-0.212	1.21	0.43
-0.122	1.154	0.412
-0.09	1.154	0.372
-0.094	1.132	0.358
-0.162	1.146	0.438
-0.066	1.284	0.538
-0.134	1.334	0.628
-0.15	1.288	0.6
-0.162	1.144	0.536
-0.19	0.874	0.458
-0.108	0.558	0.182
-0.08	0.206	-0.024
-0.19	-0.442	-0.19
-0.176	-0.536	-0.258
-0.324	-0.814	-0.32
-0.262	-1.062	-0.292
0.02	-1.368	-0.378
0.098	-1.584	-0.368
0.036	-1.784	-0.326
-0.002	-1.646	-0.096
0.23	-1.512	0.002
0.572	-1.62	-0.084
0.418	-1.608	-0.248
0.402	-1.656	-0.278
0.194	-1.792	-0.238
0.03	-1.886	-0.104
0.118	-1.732	-0.246
0.296	-1.558	-0.49
0.228	-1.304	-0.348
0.014	-1.034	-0.352
-0.126	-0.79	-0.234
-0.184	-0.382	-0.232
-0.158	0.078	-0.026
-0.254	0.538	0.132
-0.048	1.078	0.034
0.168	1.486	0.22
-0.008	1.632	0.638
-0.25	1.45	0.656
-0.256	1.34	0.54
-0.196	1.234	0.37
-0.258	1.23	0.314
-0.258	1.198	0.362
-0.226	1.134	0.41
-0.246	0.988	0.41
-0.324	0.806	0.298
-0.308	0.638	0.232
-0.356	0.394	0.092
-0.338	0.15	-0.106
-0.37	-0.044	-0.212
-0.466	-0.35	-0.274
-0.318	-0.604	-0.362
-0.162	-0.79	-0.384
-0.028	-1.048	-0.354
0.358	-1.492	-0.486
0.352	-1.95	-0.248
0.184	-1.954	-0.118
0.222	-1.87	-0.252
0.298	-1.746	-0.052
0.37	-1.646	-0.08
0.204	-1.716	-0.148
0.18	-1.944	-0.192
0.146	-2.052	-0.172
0.132	-1.886	-0.412
0.136	-1.478	-0.368
0.236	-1.104	-0.38
0.016	-0.644	-0.014
-0.062	-0.054	-0.028
-0.068	0.412	-0.08
-0.28	0.626	0.044
-0.376	0.908	0.028
-0.414	1.04	0.134
-0.316	1.092	0.312
-0.164	1.304	0.256
-0.172	1.374	0.402
-0.164	1.358	0.464
-0.134	1.348	0.412
-0.138	1.348	0.402
-0.092	1.258	0.384
-0.22	1.192	0.398
-0.214	1.092	0.402
-0.202	0.936	0.424
-0.298	0.822	0.318
-0.252	0.614	0.108
-0.246	0.302	-0.022
-0.284	-0.088	-0.086
-0.316	-0.402	-0.202
-0.412	-0.698	-0.104
-0.252	-0.94	-0.196
-0.108	-1.124	-0.292
-0.152	-1.4	-0.222
0.214	-1.732	-0.406
0.076	-1.692	0.014
0.366	-1.86	0.036
0.212	-1.822	0.278
0.138	-1.752	0.164
0.142	-1.656	0.104
0.208	-1.69	-0.036
0.232	-1.846	-0.308
-0.112	-1.868	0.02
0.008	-1.832	-0.144
0.088	-1.702	-0.216
-0.07	-1.12	0.044
0.008	-0.676	-0.164
-0.016	-0.114	-0.108
-0.046	0.146	-0.136
-0.052	0.65	-0.06
-0.132	0.914	0.082
-0.094	1.152	0.204
0.052	1.468	0.304
-0.028	1.434	0.632
0.028	1.346	0.734
0.002	1.244	0.762
0.038	1.23	0.444
0.038	1.23	0.444
0.006	1.244	0.468
0.02	1.18	0.44
-0.022	1.134	0.49
-0.104	1.034	0.47
-0.142	0.768	0.296
-0.18	0.462	0.094
-0.194	0.08	-0.08
-0.288	-0.18	-0.208
-0.344	-0.458	-0.266
-0.45	-0.734	-0.158
-0.36	-0.94	-0.224
-0.272	-1.124	-0.302
-0.126	-1.41	-0.426
0.14	-1.738	-0.462
0.162	-1.924	-0.262
-0.002	-1.7	-0.094
0.154	-1.588	-0.298
0.222	-1.574	-0.14
0.348	-1.798	-0.174
0.24	-2.024	-0.27
0.172	-2.068	-0.454
0.024	-1.894	-0.54
0.028	-1.318	-0.402
0.134	-0.942	-0.432
-0.024	-0.626	-0.188
-0.186	-0.336	-0.026
-0.268	0.094	-0.064
-0.362	0.44	0.092
-0.412	0.722	0.096
-0.376	0.93	0.036
-0.308	1.066	0.756
-0.172	1.182	0.778
-0.034	1.218	0.642
-0.1	1.144	0.73
-0.178	1.104	0.672
-0.146	1.11	0.532
-0.144	1.124	0.606
-0.142	1.122	0.572
-0.138	1.03	0.652
-0.26	0.922	0.378
-0.386	0.738	0.24
-0.326	0.53	0.008
-0.378	0.372	-0.182
-0.388	-0.014	-0.258
-0.38	-0.314	-0.328
-0.402	-0.48	-0.22
-0.316	-0.722	-0.19
-0.192	-0.956	-0.23
0.144	-1.694	-0.258
0.162	-1.856	-0.37
0.262	-1.938	-0.63
0.286	-1.888	-0.378
0.16	-1.906	0.02
0.274	-1.66	-0.306
0.406	-1.732	-0.276
0.27	-1.824	-0.078
0.18	-1.908	-0.442
-0.01	-1.726	-0.33
0.196	-1.436	-0.464
0.128	-1.264	-0.482
0.076	-1.064	-0.332
0.068	-0.724	-0.252
-0.022	-0.318	-0.048
0.13	0.326	0.194
0.236	1.124	0.284
0.102	1.468	0.752
0.038	1.49	0.922
-0.158	1.362	0.714
-0.174	1.268	0.62
-0.064	1.19	0.548
-0.01	1.226	0.544
0.07	1.354	0.582
0.16	1.468	0.592
0.092	1.268	0.594
0.048	1.146	0.52
-0.008	0.882	0.356
-0.014	0.632	0.268
-0.032	0.24	0.076
-0.136	-0.236	-0.076
-0.082	-0.598	-0.158
-0.18	-0.882	-0.144
-0.046	-1.15	-0.402
0.23	-1.528	-0.404
0.376	-2.126	-0.278
0.168	-2.226	-0.106
0.182	-1.834	-0.338
0.252	-1.608	-0.274
0.536	-1.572	-0.21
0.51	-1.722	-0.288
0.3	-2.066	-0.288
0.134	-2.34	-0.458
0.162	-2.08	-0.702
0.41	-1.934	-0.584
0.542	-1.65	-0.27
0.608	-1.072	-0.142
0.46	-0.132	0.008
0.316	0.474	0.31
0.114	0.762	0.474
-0.186	1.056	0.332
-0.224	1.138	0.31
-0.33	1.17	0.566
-0.292	1.222	0.626
-0.082	1.264	0.68
-0.12	1.23	0.708
-0.09	1.244	0.562
0.018	1.344	0.666
0.072	1.408	0.822
0.116	1.4	0.854
0.066	1.176	0.702
0	0.91	0.432
-0.026	0.704	0.268
-0.096	0.412	0.102
-0.056	0.064	-0.046
-0.064	-0.45	-0.17
-0.16	-0.756	-0.224
-0.146	-1.044	-0.308
-0.08	-1.454	-0.338
0.148	-2.03	-0.418
0.25	-2.134	-0.402
0.138	-2.052	-0.248
-0.13	-1.75	0.066
0.28	-1.416	-0.13
0.398	-1.446	-0.116
0.254	-1.738	-0.084
0.224	-1.898	-0.266
-0.056	-1.956	-0.332
0	-1.922	-0.384
0.098	-1.72	-0.372
0.078	-1.486	-0.422
0.054	-1.234	-0.196
0.074	-0.806	-0.1
0.032	-0.43	-0.02
0.384	0.152	0.146
0.472	1.102	0.504
0.678	1.642	0.372
-0.104	1.51	1.026
-0.156	1.494	0.836
-0.12	1.496	0.554
-0.186	1.414	0.578
0.004	1.416	0.536
0.016	1.38	0.58
0.024	1.25	0.558
-0.012	1.114	0.584
-0.074	0.984	0.342
-0.162	0.788	0.19
-0.208	0.64	0.116
-0.202	0.356	-0.008
-0.244	-0.034	-0.092
-0.242	-0.446	-0.178
-0.134	-0.718	-0.196
0.026	-1.06	-0.178
0.226	-1.418	-0.174
0.608	-1.982	-0.26
0.278	-2.066	0.036
0.126	-2.014	-0.252
0.286	-1.874	-0.274
0.502	-1.596	-0.086
0.492	-1.634	-0.22
0.426	-1.982	-0.072
0.318	-2.06	-0.112
0.106	-1.792	-0.39
0.166	-1.522	-0.446
0.212	-1.338	-0.384
0.268	-1.04	-0.466
0.004	-0.746	-0.158
0.022	-0.156	0
0.042	0.284	0.02
-0.048	0.72	0.19
-0.082	1.098	0.354
0.01	1.304	0.71
-0.192	1.298	0.878
-0.288	1.282	0.706
-0.268	1.262	0.576
-0.186	1.236	0.566
-0.122	1.25	0.576
-0.086	1.302	0.592
-0.056	1.284	0.666
-0.022	1.16	0.68
-0.018	0.996	0.62
-0.104	0.778	0.474
-0.192	0.534	0.264
-0.162	0.224	0.046
-0.258	-0.218	-0.064
-0.24	-0.438	-0.26
-0.064	-0.798	-0.238
-0.032	-1.208	-0.086
0.292	-1.538	-0.46
0.388	-2.104	-0.336
0.142	-2.414	-0.048
-0.138	-2.14	-0.252
0.142	-1.608	-0.194
0.728	-1.428	-0.268
0.824	-1.646	-0.206
0.402	-1.96	0.004
0.17	-2.086	0.014
0.124	-1.918	-0.09
0.196	-1.64	-0.39
0.128	-1.26	-0.318
0.11	-0.852	-0.162
0.05	-0.368	-0.048
0.1	0.132	0.142
-0.058	0.566	0.402
-0.156	0.852	0.408
-0.102	1.054	0.436
-0.364	1.116	0.492
-0.23	1.226	0.398
-0.058	1.366	0.702
-0.092	1.318	0.86
-0.068	1.262	0.818
0.006	1.24	0.71
-0.016	1.192	0.564
-0.116	1.122	0.492
-0.162	1.004	0.522
-0.228	0.858	0.486
-0.326	0.714	0.368
-0.294	0.528	0.23
-0.188	0.174	0.078
-0.192	-0.17	-0.092
-0.172	-0.502	-0.278
-0.14	-0.816	-0.318
-0.01	-1.122	-0.35
0.594	-1.628	-0.59
0.336	-1.966	-0.16
0.156	-2.304	-0.63
-0.194	-2.08	-0.504
-0.166	-1.564	-0.32
0.472	-1.52	-0.568
0.654	-1.826	-0.292
0.63	-2.228	-0.196
0.242	-2.14	-0.396
0.294	-1.746	-0.622
0.278	-1.278	-0.444
0.188	-0.764	-0.262
0.05	-0.306	-0.016
0.004	0.122	0.09
-0.164	0.366	0.112
-0.404	0.646	0.088
-0.408	0.938	-0.002
-0.51	1.072	0.164
-0.612	1.166	0.314
-0.448	1.264	0.204
-0.446	1.294	0.266
-0.322	1.3	0.288
-0.272	1.29	0.378
-0.16	1.348	0.38
-0.156	1.25	0.398
-0.24	1.132	0.382
-0.22	1.024	0.328
-0.368	0.774	0.266
-0.424	0.72	0.2
-0.404	0.55	0.09
-0.49	0.264	0.046
-0.516	0.08	-0.134
-0.452	-0.088	-0.15
-0.388	-0.314	-0.16
-0.294	-0.548	-0.28
-0.344	-0.842	-0.228
-0.172	-1.246	-0.208
0.172	-1.8	-0.32
-0.072	-2.058	-0.18
-0.05	-2.058	-0.46
-0.076	-1.844	-0.118
0.104	-1.824	0.106
0.33	-1.898	0.006
0.332	-2.034	-0.182
-0.002	-1.964	-0.152
0.058	-1.612	-0.368
0.012	-1.376	-0.358
0.168	-1.006	-0.324
0.032	-0.56	-0.29
-0.324	-0.15	0.056
-0.104	0.362	0.286
-0.186	0.894	0.356
-0.11	1.208	0.206
-0.022	1.366	0.202
-0.234	1.304	0.232
-0.3	1.346	0.066
-0.234	1.342	0.248
-0.21	1.446	0.386
-0.04	1.55	0.286
-0.036	1.502	0.314
0.078	1.472	0.352
0.27	1.304	0.362
0.134	1.01	0.382
0.018	0.8	0.258
0.074	0.668	0.052
-0.102	0.284	0.138
-0.224	0	-0.028
-0.458	-0.312	-0.166
-0.584	-0.644	-0.084
-0.822	-0.944	-0.202
-0.25	-1.058	-0.342
0.414	-1.384	-0.404
0.54	-1.81	-0.276
0.458	-1.92	-0.126
0.456	-1.8	0.244
0.506	-1.986	-0.078
0.446	-2.054	-0.098
0.212	-1.958	-0.264
0.116	-2.01	-0.408
0.108	-2.014	-0.278
0.288	-1.802	-0.278
0.29	-1.63	-0.386
0.002	-1.16	0.1
0.136	-0.594	-0.13
0.208	0.044	-0.064
0.128	0.572	0.322
-0.256	0.886	0.202
0.006	1.416	0.17
-0.108	1.542	0.48
-0.328	1.518	0.478
-0.352	1.414	0.346
-0.5	1.07	0.372
-0.508	0.976	0.456
-0.482	1.072	0.42
-0.462	1.206	0.4
-0.362	1.272	0.346
-0.344	1.09	0.314
-0.27	0.846	0.272
-0.236	0.61	0.214
-0.354	0.176	0.176
-0.366	-0.07	-0.024
-0.426	-0.272	-0.13
-0.552	-0.47	-0.12
-0.262	-0.738	-0.444
-0.16	-1.12	-0.288
0.052	-1.636	-0.09
0.188	-2.156	-0.254
-0.084	-2.284	-0.134
-0.12	-2.098	-0.128
0.21	-1.966	-0.38
0.254	-1.97	-0.196
0.426	-2	-0.494
0.082	-1.864	-0.448
-0.012	-1.534	-0.372
0.126	-1.174	-0.462
-0.014	-0.77	-0.206
-0.08	-0.37	-0.186
-0.252	0.25	-0.178
-0.44	0.722	-0.078
-0.37	0.826	-0.078
-0.41	1.002	-0.068
-0.426	1.154	0.15
-0.218	1.236	0.252
-0.392	1.138	0.28
-0.378	1.052	0.228
-0.362	0.994	0.18
-0.398	0.998	0.164
-0.32	1.096	0.228
-0.338	1.214	0.282
-0.338	1.214	0.282
-0.38	1.288	0.346
-0.298	1.278	0.318
-0.258	1.106	0.314
-0.184	0.722	0.194
-0.144	0.156	0.068
-0.086	-0.24	-0.03
-0.046	-0.67	-0.112
0.17	-1.036	-0.18
0.39	-1.868	-0.054
0.252	-2.898	-0.02
-0.336	-2.854	-0.172
-0.376	-1.912	-0.292
-0.19	-1.564	-0.102
0.488	-1.56	-0.052
0.528	-1.792	-0.03
0.194	-2.048	-0.094
-0.202	-2.086	-0.204
0.122	-1.828	-0.712
0.116	-1.568	-0.44
0.19	-1.262	-0.308
0.168	-0.902	-0.158
0.254	0.086	-0.22
0.306	0.906	0.076
0.154	1.32	0.354
-0.11	1.316	0.418
-0.25	1.296	0.456
-0.292	1.276	0.328
-0.24	1.236	0.32
-0.158	1.282	0.364
-0.112	1.354	0.334
-0.07	1.446	0.346
-0.118	1.408	0.366
-0.144	1.266	0.326
-0.222	1.108	0.344
-0.198	0.902	0.18
-0.324	0.672	0.164
-0.292	0.46	0.026
-0.22	0.274	-0.054
-0.274	-0.066	-0.032
-0.144	-0.468	-0.18
-0.182	-0.784	-0.248
-0.208	-0.998	-0.174
0.402	-1.48	-0.516
0.424	-2.218	-0.256
0.096	-2.576	-0.354
-0.112	-2.116	-0.716
0.036	-1.7	-0.608
0.472	-1.624	-0.32
0.476	-1.824	-0.25
0.188	-2.026	-0.138
0.15	-2.188	-0.194
0.24	-2.042	-0.262
0.448	-1.404	-0.488
0.314	-0.746	-0.298
0.066	-0.124	-0.122
-0.044	0.498	-0.092
-0.22	0.928	0.032
-0.544	0.832	0.054
-0.53	0.824	0.028
-0.492	0.896	0.088
-0.436	0.932	0.076
-0.272	1.124	0.236
-0.268	1.188	0.37
-0.166	1.28	0.388
-0.148	1.346	0.454
-0.214	1.312	0.448
-0.142	1.324	0.342
-0.214	1.258	0.432
-0.204	1.166	0.39
-0.294	1	0.298
-0.348	0.814	0.186
-0.416	0.676	0.058
-0.432	0.378	-0.01
-0.382	0.244	-0.052
-0.266	-0.05	-0.16
-0.176	-0.298	-0.164
-0.048	-0.68	-0.13
0.018	-1.054	-0.232
0.124	-1.474	-0.346
0.304	-1.706	-0.282
0.262	-1.95	-0.188
0.342	-1.91	-0.518
0.432	-1.67	-0.464
0.342	-2.014	0.33
0.346	-1.578	0.036
0.066	-1.26	-0.078
-0.058	-0.91	-0.07
-0.018	-0.612	-0.046
-0.104	-0.622	-0.196
-0.142	-0.766	-0.35
0.012	-1.028	-0.468
-0.152	-1.164	-0.254
-0.136	-1.09	-0.396
-0.092	-0.984	-0.438
-0.102	-0.978	-0.334
-0.054	-0.976	-0.166
-0.088	-0.946	-0.138
-0.132	-0.892	-0.116
-0.186	-0.884	-0.17
-0.186	-0.884	-0.17
-0.206	-0.904	-0.236
-0.186	-0.898	-0.254
-0.186	-0.896	-0.262
-0.216	-0.916	-0.274
-0.192	-0.924	-0.288
-0.198	-0.932	-0.258
-0.208	-0.956	-0.276
-0.196	-0.952	-0.31
-0.182	-0.96	-0.314
-0.182	-0.98	-0.292
-0.18	-0.994	-0.308
-0.168	-0.976	-0.336
-0.166	-0.952	-0.3
-0.156	-0.93	-0.266
-0.13	-0.92	-0.26
-0.134	-0.944	-0.23
-0.136	-0.958	-0.228
-0.108	-1.008	-0.256
-0.15	-1.05	-0.25
-0.17	-1.072	-0.254
-0.156	-1.068	-0.258
-0.148	-1.002	-0.302
-0.146	-0.93	-0.308
-0.124	-0.906	-0.292
-0.118	-0.896	-0.272
-0.144	-0.9	-0.24
-0.136	-0.916	-0.198
-0.126	-0.938	-0.18
-0.126	-0.978	-0.16
-0.12	-1.048	-0.198
-0.17	-1.17	-0.328
-0.236	-1.228	-0.29
-0.182	-1.302	-0.34
-0.13	-1.342	-0.416
-0.084	-1.372	-0.456
-0.146	-1.36	-0.502
-0.24	-1.286	-0.544
-0.406	-1.236	-0.568
-0.45	-1.106	-0.492
-0.4	-0.674	-0.512
-0.35	-0.388	-0.534
-0.322	-0.092	-0.502
-0.222	0.2	-0.434
-0.048	0.438	-0.324
0.198	0.528	-0.172
0.348	0.538	-0.244
0.532	0.558	-0.04
0.888	0.762	-0.038
0.888	0.762	-0.038
0.84	0.75	0.082
0.73	0.67	0.368
0.626	0.568	0.556
0.606	0.462	0.578
0.54	0.404	0.628
0.572	0.454	0.722
0.67	0.48	0.988
0.58	0.48	1.552
0.924	0.558	0.76
0.496	0.19	0.498
-0.634	0.736	1.072
0.528	1.088	1.574
-0.046	0.484	0.86
-0.176	0.084	0.698
0.166	0.074	0.382
0.038	0.376	0.25
0.044	0.504	0.564
0.118	0.506	1.068
0.554	0.404	1.696
0.446	0.728	1.292
0.108	0.872	1.018
0.03	0.768	1.03
-0.064	0.754	1.378
-0.154	0.754	1.12
-0.19	0.702	0.744
-0.258	0.59	0.536
-0.156	0.35	0.812
0.124	0.282	0.924
0.12	0.184	0.836
0.182	0.076	0.606
0.252	0.016	0.46
0.298	-0.018	0.388
0.436	-0.112	0.516
0.582	-0.26	0.67
0.674	-0.334	0.706
0.618	-0.464	0.952
0.606	-0.494	1.078
0.654	-0.468	0.95
0.652	-0.482	1.064
0.578	-0.392	0.87
0.538	-0.196	0.738
0.45	-0.1	0.688
0.44	-0.118	0.802
0.37	-0.17	0.94
0.508	-0.328	1.062
0.466	-0.414	1.312
0.514	-0.428	1.206
0.48	-0.542	1.272
0.442	-0.584	1.208
0.4	-0.56	1.088
0.356	-0.53	0.972
0.378	-0.422	0.878
0.452	-0.378	0.89
0.46	-0.436	1.342
0.38	-0.362	1.482
0.36	-0.154	1.176
0.248	0.06	0.76
0.106	0.156	0.578
0.034	0.154	0.488
-0.062	0.128	0.38
-0.018	0.032	0.354
0.186	-0.114	0.258
0.376	-0.296	0.042
0.52	-0.532	-0.118
0.91	-0.786	0.084
1.124	-0.888	0.11
1.246	-0.922	0.044
1.15	-0.848	0.05
1.096	-0.784	0.052
1.17	-0.724	-0.01
